Echantillon,'Type de roche',CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu
75-02RM616.1.3A,'R.carbonatees & R.carbonatees impures',46.53,0.25,19.59,26.93,790,4,2930.5,2
77-02RM617.1.3B,'R.carbonatees & R.carbonatees impures',46.36,0.87,19,27.37,1273,36,32,2
81-02RM621.1.3B,'R.carbonatees & R.carbonatees impures',46.34,0.14,19.32,27.02,200,1,2930.5,170.125
82-02RM622.1.3A,'R.carbonatees & R.carbonatees impures',46.24,0.26,19.3,26.94,836,1,2930.5,1
84-02RM625.1.3A,'R.carbonatees & R.carbonatees impures',46.18,0.14,19.3,26.88,177,75,16,1
87-02RM626.2.3A,'R.carbonatees & R.carbonatees impures',46.12,0.17,19.26,26.86,631,2,7,170.125
89-02RM627.2.3B,'R.carbonatees & R.carbonatees impures',45.6,1.84,18.44,27.15,891,5,2930.5,4
90-02RM627.3.3B,'R.carbonatees & R.carbonatees impures',45.53,0.4,9.06,36.47,1364,5,12,2
91-02RM628.1.3A,'R.carbonatees & R.carbonatees impures',45.49,0.23,18.86,26.63,8011.905263,3,2930.5,2
92-02RM629.1.3B,'R.carbonatees & R.carbonatees impures',45.43,0.09,19.17,26.26,209,700.073684,2930.5,170.125
93-02RM629.2.3B,'R.carbonatees & R.carbonatees impures',44.78,0.08,18.8,25.98,297,60,2930.5,2
95-02RM630.1.3A,'R.carbonatees & R.carbonatees impures',44.47,0.17,18.51,25.96,158,3,6,2
105-02RM633.3.3C,'R.carbonatees & R.carbonatees impures',44.12,0.23,18.42,25.7,630,3,2930.5,3
108-02RM636.1.3B,'R.carbonatees & R.carbonatees impures',43.3,0.12,18.1,25.21,244,2,2930.5,2
110-02RM639.1.3B,'R.carbonatees & R.carbonatees impures',43.14,0.24,18.52,24.62,1137,41,43,3
118-02YH014.1.3B,'R.carbonatees & R.carbonatees impures',42.83,0.16,17.78,25.05,842,5,6,7
119-02YH014.2,'R.carbonatees & R.carbonatees impures',42.71,0.76,17.98,24.73,1154,3,2930.5,4
120-02YH014.3,'R.carbonatees & R.carbonatees impures',39.45,0.21,16.64,22.81,8011.905263,3,2930.5,1
124-02YH017.2.3A,'R.carbonatees & R.carbonatees impures',38.01,0.42,15.78,22.23,1124,3,2930.5,5
130-02YH023.1.3A,'R.carbonatees & R.carbonatees impures',30.18,0.28,12.75,17.43,391,3,8,2
133-02YH025.2.3B,'R.carbonatees & R.carbonatees impures',29.88,0.23,12.86,17.02,1288,188,2930.5,2
86-02RM626.1.3B,Pyrite,43.75,2.47,18.11,25.64,17101,5,2930.5,2
96-02RM631.1.3A,Pyrite,45.83,2.14,19.26,26.57,14285,25,7,2
10-02BD311.1.3A,Pyrite,45.83,0.78,19.43,26.4,4318,7,2930.5,4
6-02BD304.2.3E,Pyrite,34.12,7.35,13.43,20.69,29649,10,26,201
7-02BD304.3.3G1/G2,Chalcopyrites,26.67,3.45,7.42,19.25,5726,14,2,7005
13-02BD313.2.3B,Chalcopyrites,31.48,15.95,9.08,22.4,29379,13,2930.5,6407
131-02YH024.1.3A1/A2,Galene,47.27,0.46,19.79,27.48,2158,1919,6112,3
134-02YH026.1.3A,Galene,13.96,41.34,5.09,8.87,324570,13715,10617,42
101-02RM632.3.3D1,Galene,37.93,1.84,15.83,22.1,16244,31969,106331,302
103-02RM633.1.3B,Spahlerite,43.11,0.52,17.95,25.16,1632,2314,6,6
27-02BD329.3.3A3,Spahlerite,49.08,0.35,20.63,28.45,791,2477,6,2
102-02RM632.3.3D2,Spahlerite,43.19,1.7,18.09,25.1,13165,12521,5277,22
9-02BD310.1.3A,'Sediments terrigenes',3.63,15.59,2.77,0.86,3321,25,7,9
142-02YH032.1.3A,'Sediments terrigenes',3.17,0.67,2.82,0.34,2888,111,21,51
12-02BD313.1.3A,'Sediments terrigenes',0.64,25.82,0.6,0.05,209851,23,76,331
20-02BD322.1.3A,'Sediments terrigenes',2,5.95,1.9,0.1,38791,73,27,96
112-02YH009.1.3A,'Sediments terrigenes',2.34,3.37,1.59,0.76,13769,11,11,5
126-02YH019,'Sediments terrigenes',24.67,3.09,11.06,13.61,275,37,2930.5,4
123-02YH016.2.3D,'Sediments terrigenes',2.08,0.58,1.07,1.01,184,13,7,2
5-02BD304.1.3A2,'Sediments terrigenes',0.48,0.98,0.42,0.06,652,10,6,288
116-02YH013.1.3B,'Sediments terrigenes',39.43,0.58,16.6,22.84,314,9,2930.5,5
11-02BD312.1.3A,'R.carbonatees & R.carbonatees impures',33.8,1.16,5.13,28.67,1222,16,3,5
